provider,month,service,usage_units,cost_usd
AWS,2025-10-01,EC2,247.5,955.87
AWS,2025-10-01,S3,363.82,1047.29
AWS,2025-10-01,RDS,489.03,221.71
AWS,2025-10-01,EKS,403.73,942.03
AWS,2025-10-01,CloudWatch,252.67,258.36
AWS,2025-11-01,EC2,467.04,520.46
AWS,2025-11-01,S3,420.24,815.37
AWS,2025-11-01,RDS,152.26,598.89
AWS,2025-11-01,EKS,78.72,718.95
AWS,2025-11-01,CloudWatch,334.25,1013.84
AWS,2025-12-01,EC2,209.54,938.73
AWS,2025-12-01,S3,451.9,1168.35
AWS,2025-12-01,RDS,137.59,960.65
AWS,2025-12-01,EKS,69.71,624.06
AWS,2025-12-01,CloudWatch,357.37,286.63
AWS,2026-01-01,EC2,485.38,924.34
AWS,2026-01-01,S3,216.71,471.89
AWS,2026-01-01,RDS,135.26,627.12
AWS,2026-01-01,EKS,264.07,260.32
AWS,2026-01-01,CloudWatch,351.42,365.06
AWS,2026-02-01,EC2,424.71,592.12
AWS,2026-02-01,S3,190.56,876.29
AWS,2026-02-01,RDS,412.14,1018.84
AWS,2026-02-01,EKS,179.75,538.48
AWS,2026-02-01,CloudWatch,112.89,857.1
